Name,Style,Brewery,ABV,Min IBU,Max IBU,number_of_reviews
Andechser Bergbock Hell,Bock - Maibock,Klosterbrauerei Andechs,0.3846153846153847,0.0,0.15,-0.16475095785440613
Andechser Doppelbock Dunkel,Bock - Doppelbock,Klosterbrauerei Andechs,0.423076923076923,-0.3,-0.4,0.7432950191570882
Andechser Export Dunkel,Lager - Munich Dunkel,Klosterbrauerei Andechs,-0.423076923076923,-0.5,-0.5,-0.2260536398467433
Andechser Spezial Hell,Lager - Helles,Klosterbrauerei Andechs,-0.076923076923077,-0.2,-0.5,-0.1724137931034483
Andromeda Heather Ale,Gruit / Ancient Herbed Ale,Dragonmead Microbrewery,-0.5384615384615387,-2.0,-1.75,-0.3333333333333333
Andygator,Bock - Maibock,Abita Brewing Co.,0.7692307692307694,0.0,0.15,0.7318007662835249
Anger,IPA - Black / Cascadian Dark Ale,Greenbush Brewing Company,0.6153846153846153,3.0,1.75,-0.32567049808429116
Angler's Ale,Pale Ale - English,Arcadia Brewing Company,-0.23076923076923067,0.0,0.25,0.16091954022988506
Angry Angel,Kölsch,Big Boss Brewing,-0.576923076923077,-0.2,-0.5,-0.13409961685823754
Angry Goat,Bock - Weizenbock,Rahr & Sons Brewing Company,0.7692307692307694,-0.5,0.0,-0.3333333333333333
Anna,Farmhouse Ale - Saison,Hill Farmstead Brewery,0.153846153846154,0.0,0.15,-0.1532567049808429
Anniversary Ale,Wheat Beer - Wheatwine,Short's Brewing Company,1.5384615384615388,2.5,2.5,0.2260536398467433
Anniversary Barley Wine Ale,Barleywine - American,Uinta Brewing Company,1.6923076923076927,4.0,3.25,0.7318007662835249
Anubis,Porter - Imperial,Laughing Dog Brewing,1.2307692307692306,1.5,0.75,-0.3448275862068966
Anvil,Bitter - English Extra Special / Strong Bitter (ESB),AleSmith Brewing Company,-0.19230769230769235,0.0,0.25,0.6130268199233716
Anvil Porter,Porter - English,French Broad Brewing Co.,0.0,0.0,-0.25,-0.27586206896551724
Aorta Ale (Double Red Ale),Red Ale - Imperial,Short's Brewing Company,1.3846153846153846,3.5,2.5,-0.2835249042145594
Aphrodisiaque,Stout - American,Brasserie Dieu Du Ciel,0.19230769230769235,1.5,1.25,1.3295019157088122
Applehead,Herb and Spice Beer,Shipyard Brewing Co.,-0.576923076923077,-1.5,0.25,-0.31417624521072796
ApriHop,IPA - American,Dogfish Head Brewery,0.3846153846153847,3.0,1.75,5.32183908045977
Apricot Ale,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,0.9615384615384617,-1.5,-0.25,0.17624521072796934
Apricot Wheat,Fruit and Field Beer,Ithaca Beer Company,-0.423076923076923,-1.5,0.5,0.5095785440613027
Arabier,Strong Ale - Belgian Pale,Brouwerij De Dolle Brouwers,0.7692307692307694,0.0,0.25,0.6590038314176245
